DESC_ID	ingredient_name	translate_status	one_liner	one_liner_kr	bottom_line_en	bottom_line_kr	upside_en	upside_kr	downside_en	downside_kr	mechnism_en	mechnism_kr	pharmacist_tips	pharmacist_tips_kr
1	Abacavir	2_검수(1차)	Works with other medicines to treat HIV infection.	HIV 감염 치료에 다른 약들과 함께 쓰입니다.	Ziagen (abacavir) is a first-choice medication that is used with others to treat HIV. It's important that your doctor test you for allergic reactions to Ziagen (abacavir) before starting the medication.	***은 다른 약물과 함께 HIV 치료에 1차 치료제로 쓰입니다. 약 복용전에 반드시 ***에 대한 알레르기검사를 받아야합니다.	['Ziagen (abacavir) is found in many other combination tablets.', 'Ziagen (abacavir) has few drug interactions.', 'People whose kidneys are not working as well can still take Ziagen (abacavir) without having to change its dose.', 'Kids 3 months and older can use Ziagen (abacavir).']	***은 많은 복합제에 들어있습니다. 약물상호작용이 적습니다. 신장기능이 저하된 환자들도 용량 변경없이 사용할 수 있습니다. 3개월 이상된 어린이에게 사용할 수 있습니다.	['Ziagen (abacavir) can increase your risk of heart attack.', 'This is not a great medication to take if you have liver problems.', 'Severe allergic reactions have happened in some patients taking Ziagen (abacavir). Your doctor will test you for any possible risk of reaction before starting Ziagen (abacavir).']	***은 심장 마비 위험성을 높일 수 있습니다. 간질환 환자에게는 좋은 약이 아닙니다. 일부 사람들에게 심각한 알레르기 증상이 나타날 수 있습니다. 따라서 복용전에 반드시 알레르기검사를 받아야합니다.	Ziagen (abacavir) treats HIV infections by preventing the virus from attacking your immune cells and multiplying.	***은 바이러스가 면역세포를 공격하고 증식하는것을 막음으로써 HIV감염을 치료합니다.	['Can be taken with or without food.', 'Alcohol should be avoided when taking Ziagen (abacavir).', "Always practice safe sex while taking Ziagen (abacavir). Don't share needles or personal items that can have blood or body fluids on them.", 'Immediately report any signs of liver problems (jaundice, dark urine, yellowing of eyes, etc.) or sensitivity reactions (rash, fever, fatigue, difficulty breathing, etc.) to your doctor.']	
2	Abatacept	2_검수(1차)	Calms down the immune system and prevents joint damage.	면역시스템을 안정화시키고 관절 손상을 예방합니다.	Orencia (abatacept) slows the progress of rheumatoid arthritis, but can also cause serious side effects.	류마티스관절염의 진행을 늦춰주지만 심각한 부작용을 초래할 수 있습니다.	['In a 2-year study that used IV Orencia (abatacept) with methotrexate, more than half of the people had remission and the majority felt significantly better.', 'Helps minimize joint damage, lowers symptoms, and prevents future problems. People taking Orencia (abatacept) had no new joint damage after two years.', 'Taking Orencia (abatacept) allows RA patients to use less prednisone, a steroid that has many side effects.', 'You can give yourself Orencia (abatacept) subcutaneously on your own at home rather than visiting a clinic or hospital.', 'Available in a prefilled autoinjector for convenient use.']	메토트렉세이트(Methotrexate)와의 2년간 비교 임상 연구에 따르면 절반 이상의 환자들이 류마티스관절염의 증상이 완화되었고 대다수가 훨씬 나아진 것을 느꼈다고 밝혔습니다. 관절 손상을 최소화하고, 류마티스 관절염 증상을 줄이고, 병의 진행을 예방해줍니다. ***의 투여를 받은 환자는 2년간 새로운 관절 손상이 나타나지 않았습니다.***의 투여를 받은 환자는 많은 부작용을 일으키는 프레드니손(Prednisone)의 사용을 줄일 수 있습니다. 약이 미리 채워져있는 자가 주사제 형태를 이용할 수 있어 병의원 방문 없이 자가로 집에서도 투여할 수 있습니다.	['Orencia (abatacept) can be costly.', 'The IV infusion form of Orencia (abatacept) can cause a reaction, which ranges from a slight itching or warm feeling to more serious side effects such as low blood pressure and chest pain.', 'The IV infusion form of Orencia (abatacept) contains maltose, a type of sugar, that can give false high blood sugar readings with certain types of blood sugar monitors on the day of Orencia (abatacept) infusion. The self-injection subcutaneous form does not contain maltose. Talk to your doctor if you have diabetes.', 'If you need TNF inhibitors as part of your treatment, it is not recommended to take Orencia (abatacept). If you have COPD, you are at higher risk of side effects.', 'Orencia (abatacept) lowers your ability to fight infection. Your risk can increase if you take medications that lower your immune system or have an active infection. You may need to get tested for tuberculosis before starting Orencia (abatacept).']	정맥 주사로 투여를 받는다면 간지럼증이나 덥게 느껴지는 가벼운 부작용 부터 저혈압과 흉통 같은 심각한 부작용 까지 일으킬 수 있습니다. 정맥 주사제에는 당의 한 종류인 말토오스(Maltose)를 함유하고 있기 때문에 혈당 수치가 높게 측정될 수 있습니다. 따라서 당뇨가 있다면 의사와 상의해야합니다. 치료를 위해 TNF 억제제를 복용해야 하는경우, ***의 투여가 추천되지 않습니다. COPD 환자라면 ***의 투여로 인한 부작용이 일어날 가능성이 더 높습니다. 감염에 대항하는 면역력을 떨어뜨리기 때문에 면역억제제를 복용하거나 이미 병균이나 바이러스에 감염된 상태라면 더욱 위험합니다. ***의 투여 시작 전에 결핵 검사를 받아야합니다.	Orencia (abatacept) is a biologic DMARD (disease-modifying anti-rheumatic drug) - sometimes just called a "biologic". It prevents your body from activating the cells that cause inflammation.	***은 생물학적 DMARD(질병조절항류마티스제)로써 염증을 일으키는 세포가 활성화되는 것을 막습니다.	['If you are using the IV version of Orencia (abatacept), you will only need to get infusions once a month (after the first initial doses). It takes about 30 minutes to give the full dose of medicine. Stay hydrated and ask your nurse to apply dry heat (instant warm packs) to your arm to help find your good veins.', 'The self-injections are taken once a week. You or your caregiver should receive training on the proper way to prepare and inject Orencia (abatacept).', 'Keep the Orencia (abatacept) self-injection refrigerated, and let it rest at room temperature for 30 minutes before using it.', "Each time you use Orencia (abatacept), it's important to rotate the sites you chose to inject it in. Don't inject Orencia (abatacept) into skin that's red, bruised, or irritated.", 'Talk with your doctor before getting any vaccines. Use of this drug may either raise the chance of an infection or make the vaccine not work as well.', 'As with all injection medicines, store it securely away from children and throw away used syringes in an FDA-approved sharps disposal container, never in the trash.']	
3	Abiraterone	2_검수(1차)	Helps treat prostate cancer.	전립선암 치료에 도움이 됩니다.	Zytiga (abiraterone) is an effective oral treatment for prostate cancer that has spread to other parts of the body, but it needs to be taken with another medicine called prednisone.	***는 몸의 다른 부위로 퍼진 전립선암을 치료하는 데 효과적인 약이지만, 프레드니손(Prednisone)이라는 성분의 약제와 함께 사용되어야 합니다.	['Proven to prolong survival by about 4 months, delay start of chemotherapy by about 8 months, and reduce use of opioid narcotics for pain management.', "Zytiga (abiraterone) is an oral tablet that's conveniently taken once a day."]	4개월의 생존기간 연장, 항함화학요법 도입의 8개월 연기의 효과가 증명되었으며 오피오이드(마약성) 진통제의 필요성을 줄여줍니다.먹는 약으로 하루에 1회만 복용하면 됩니다.	['Not the best choice if you have heart or liver problems.', "Zytiga (abiraterone) can cause liver damage. You'll need routine blood tests to check your liver function.", 'Available as an expensive, branded product only.']	간 이나 심장에 문제가 있는 환자에게는 가장 좋은 선택약은 아닐 수 있습니다.간 손상을 유발할 수 있으므로 혈액검사를 통해 정기적으로 간수치를 확인하여야 합니다.	Zytiga (abiraterone) stops the production of a hormone called testosterone, which is essential for the growth of tumor cells in the prostate.	***는 전립선 내의 종양 세포들의 성장에 필수적인 테스토스테론을 생성을 막아 전립선암의 진행을 늦추어 줍니다.	["Zytiga (abiraterone) must be taken on an empty stomach. Don't eat any food for at least 2 hours before or 1 hour after your dose.", "Don't crush or chew Zytiga (abiraterone). Swallow the tablets whole with a glass of water.", 'Zytiga (abiraterone) must be taken with another medicine called prednisone to reduce unwanted side-effects from Zytiga (abiraterone).', 'Take Zytiga (abiraterone) once a day. Take prednisone twice a day.', 'Zytiga (abiraterone) can cause birth defects. Men should use a condom plus another form of birth control while taking Zytiga (abiraterone).', 'Zytiga (abiraterone) interacts with a lot of medicines. Talk to your doctor or pharmacist before starting Zytiga (abiraterone) or any other new medicine.']	
4	Acamprosate	2_검수(1차)	Treats alcoholism.	알코올의존 치료제 입니다.	Campral (acamprosate) reduces your craving for alcohol, but it works better if you're also in a support group.	***은 알코올의존을 치료하는 약입니다.	['Campral (acamprosate) reduces your cravings for alcohol and can help to maintain your sobriety.', "Unlike other medicines used for alcoholism, Campral (acamprosate) doesn't produce any unpleasant effects if you slip and have a drink. You can keep taking it if you break your sobriety, but talk to your doctor."]	***은 알코올에 대한 갈망을 줄여주어 음주하지 않도록 도와줍니다. 다른 알코올의존에 쓰이는 약들과는 달리 ***은 술을 마셨을때 불쾌감을 일으키지는 않습니다. 하지만 *** 을 복용하는동안 음주하더라도 약은 계속 복용해야하며,  반드시 의사에게 알려야합니다.	["Campral (acamprosate) can't replace the support you get from counseling or group therapy for maintaining your sobriety.", "Campral (acamprosate) doesn't treat symptoms of alcohol withdrawal.", 'Campral (acamprosate) can be started only for those who have been able to safely stop drinking alcohol.', 'It may be difficult to remember to take Campral (acamprosate) three times daily.', "If you have severe kidney damage, you can't take Campral (acamprosate)."]	***는 알코올의존증 치료를 위한 상담이나 그룹치료롤 대체할 수 없습니다. 따라서 약을 복용하더라도 반드시 상담이나 그룹치료를 이어나가야 합니다.***은 알코올금단증상을 개선해주진 않습니다. ***은 금주에 성공한 적 있었던 사람들에게만 사용됩니다.***을 하루 3번 복용해야 하므로 복용을 잊어버릴 수 있습니다.심각한 신장손상을 지니고 있다면 ***을 복용해선 안됩니다.	Campral (acamprosate) is a GABA agonist and glutamate antagonist. It lowers your cravings and need for alcohol.	***은 GABA 효능제이자, 글루탐산 길항제입니다. 알코올에 대한 의존도와 갈망을 줄여줍니다	["Campral (acamprosate) works better if you're also going to counseling or group therapy for alcoholism.", "Don't drive or do anything that requires concentration until you know how Campral (acamprosate) affects you.", "Taking Campral (acamprosate) won't help with symptoms of alcohol withdrawal.", 'If you break your sobriety while taking Campral (acamprosate), keep taking it, but talk to your doctor right away.']	
5	Acarbose	2_검수(1차)	Lowers blood sugar.	혈당을 낮춰줍니다.	Precose (acarbose) helps lower your post-mealtime blood sugar levels, but it must be taken at the beginning of each main meal in order for it to be most effective.	***은 식사 후 혈당을 내려줍니다. 효과를 최대화 시키기 위해 식사 시작시 복용해야 합니다.	['Precose (acarbose) helps control meal-time blood sugar levels without causing weight gain.', "When used alone it doesn't normally cause blood sugar levels to be too low unlike other anti-diabetes medicines.", 'Safe to be used in people age 65 or older.', 'Has relatively few interactions with other medicines.']	***은 체중 증가 없이 식사 중 혈당 수치를 조절해줍니다. 다른 당뇨약과는 달리 단독으로 사용시 저혈당을 유발하지 않습니다. 65세이상 고령자에게도 안전합니다. 다른 약물과의 상호작용이 적습니다.	["Not a first choice medicine because it isn't as effective at lowering blood sugar compared to other treatment options.", 'Associated with bothersome side effects like excessive gas and diarrhea.', 'Relatively more expensive than other diabetes medicines.', 'Has to be taken three times a day with each meal.', 'Might cause episodes of low blood sugar when taken together with insulin or medicines that stimulate insulin release.']	다른 당뇨약에 비해 혈당 강하 효과가 뛰어나지 않기 때문에 1차 약제로 쓰이지 않습니다. 장내가스나 설사등의 부작용을 일으킬 수 있습니다.하루 3번 식사와 함께 복용합니다. 인슐린이나 인슐린 분비를 촉진하는 다른 약과 함께 병용할 경우 저혈당 부작용을 일으킬 수 있습니다.	Precose (acarbose) stops an enzyme in your body from turning carbohydrates into sugar for energy. As a result, your body will absorb less sugar from the foods that you eat which will lead to lower blood sugar levels.	***은 탄수화물을 당으로 바꿔주는 체내의 효소를 억제하여 당의 흡수율이 떨어뜨려 혈당 수치를 낮춥니다.	['Take Precose (acarbose) with the first bite of each main meal.', "Don't take the medicine for the times you have skipped a meal.", 'Causes side effects usually during the first few weeks of treatment including stomach pain, excessive gas, and diarrhea that will become less bothersome with time.', 'You should continue to maintain a healthy diet, exercise regularly, and monitor your blood sugar levels while taking Precose (acarbose).', 'Your doctor will work with you to increase your dose gradually.', 'Carry glucose tablets with you at all times so that you can take them when your blood sugar drops to dangerously low levels. This is more likely to happen if you are also using insulin or a medicine that stimulates insulin release.']	
6	Aceclofenac			염증, 통증을 줄여주며 열을 내려줍니다.		비스테로이드성 소염진통제로 다양한 염증 및 통증을 줄여주지만 위장관 부작용을 조심하여야 합니다.		***는 염증 및 통증을 줄여주고 열을 내리는데 효과적입니다.류머티스 관절염, 골관절염 및 수술후 염증 등 다양한 염증에 의한 통증을 줄여주는데 적합합니다.기타 비스테로이드성 소염진통제(NSAIDs)에 비해 위장의 궤양 발생 위험이 적습니다.		속쓰림부터 궤양까지 다양한 소화성 부작용들이 유발될 수 있기 때문에 공복에서의 섭취를 피해야 합니다.임산부 및 고령자분들은 복용을 가급적 피해야 합니다.고혈압 및 심부전 등이 나타날 수 있기 때문에 심혈관계에 문제가 있는 환자의 경우 주의해야 합니다.		***는 비스테로이드성 소염진통제(NSAIDs) 입니다. 이 약은 염증이 진행되는 과정을 막아 그로 인한 통증, 붓기, 그리고 열을 줄여줍니다.		
7	Acetaminophen	2_검수(1차)	Relieves pain and fever.	진통 해열제 입니다.	Tylenol Regular Strength (acetaminophen) effectively reduces fever and relieves pain, but it doesn't lower inflammation and swelling.	***은 효과적으로 열을 내려주며 통증을 완화해주지만, 염증이나 붓기를 제거해주지는 않습니다.	['Works well to relieve pain and fevers.', 'Good for menstrual cramps, toothaches, body aches, and mild arthritis pain.', 'Tylenol Regular Strength (acetaminophen) causes less upset stomach, ulcers, bruising, and bleeding than other pain medications like aspirin and Advil.', "Doesn't cause kidney damage and is also safe to use if you have heart problems or if you're pregnant.", 'Tylenol Regular Strength (acetaminophen) has been used for a long time and is generally safe for short-term use.']	해열 및 진통 효과가 뛰어납니다.생리통이나 치통, 몸살 및 관절염에 의한 통증에 효과적입니다.***은 아스피린이나 이부프로펜등의 진통제보다 소화장애, 궤양, 멍 및 츨혈 등이 적습니다.신장에 무해하며 심장 질환자 혹은 임산부에게도 안전합니다.***은 오랜 기간 판매되었으며 단기 복용시 안전함이 증명되었습니다.	["Tylenol Regular Strength (acetaminophen) doesn't treat some kinds of pain as well as other medications like Advil.", 'Drinking alcohol while taking Tylenol Regular Strength (acetaminophen) can damage your liver.', "To avoid hurting your liver, you need to keep track of the total amount of acetaminophen you are taking since it's a very common ingredient in pain and cold combination medicines.", 'Heavy alcohol drinkers and people with liver problems should avoid using Tylenol Regular Strength (acetaminophen) since it can cause serious liver damage.']	***은 이부프로펜과 같은 진통제에 비해 특정 통증에는 효과가 작습니다.*** 복용 중 알코올 섭취시 간을 손상시킬 수 있습니다.***은 진통제 및 감기약에 흔히 포함되어 있으므로 간 손상을 방지하게 위해서는 복용중인 ***의 총량을 인지하고 있어야 합니다.애주가 혹은 간 질환이 있는 환자들은 ***의 섭취를 피해야 합니다.	Tylenol Regular Strength (acetaminophen) is an analgesic. It relieves pain and lowers fever by stopping the production of certain chemicals in the brain that cause both pain and fever.	***은 진통제입니다. 통증과 열에 관련된 뇌의 특정 화학물질의 생성을 차단하여 통증을 줄여주고 열을 내려줍니다.	['Tylenol Regular Strength (acetaminophen) starts working within one hour.', "Taking too much of Tylenol Regular Strength (acetaminophen) can cause liver failure and death. Don't take more than what's recommended on the package insert.", "Acetaminophen is found in many over-the-counter and prescription products. Make sure the total amount of acetaminophen you take does not exceed 3,000 mg per day and check with your pharmacist to make sure you're not taking too much.", 'Follow age-specific dosing instructions on how much to take.', "Let your doctor know if your symptoms don't improve in a few days."]	
8	Acetaminophen/Tramadol	2_검수(1차)	Relieves acute pain.	급성 통증을 완화 시켜줍니다.	Ultracet (tramadol / acetaminophen) effectively relieves pain, but can only be used for up to 5 days and isn't a first-choice.	효과적으로 통증을 완화시켜주지만, 5일 이상 사용할 수 없으며 1차 선택약은 아닙니다.	Ultracet (tramadol / acetaminophen) effectively relieves pain in the short-term.    Ultracet (tramadol / acetaminophen) is a combination pain reliever containing two pain medicines that work better together for pain control.    Has a lower chance of causing breathing problems compared to other stronger opioid pain medicines.    Doesn't cause as much constipation compared to other opioid pain medicines.    Generic available making it more affordable.	짧은 기간동안 나타나는 통증을 효과적으로 완화시켜줍니다.통증을 완화하는데 시너지(상승작용)를 나타내는 두 진통제를 합친 복합 진통제입니다.여타 다른 마약성 진통제에 비해 변비 및 호흡기 부작용이 적습니다.	Only used for short-term treatment of pain.    Ultracet (tramadol / acetaminophen) has a risk of addiction and abuse.    Shouldn't be used in people with liver damage.    While taking Ultracet (tramadol / acetaminophen), you need to keep track of the total amount of acetaminophen you are taking to avoid liver damage.	중독 및 남용의 위험성이 있기 때문에 통증의 단기 치료에만 사용됩니다.간에 문제가 있는 환자들은 복용을 피해야 합니다.***에는 아세트아미노펜이 함유되어 있기 때문에 ***의 복용 기간 동안 간의 부작용을 방지하기 위해 본인이 섭취하는 총 아세트아미노펜의 양을 파악하여 1일 4,000mg 을 초과하지 않도록 주의해야 합니다.	Ultracet (tramadol / acetaminophen) is a opiate-based combination pain reliever containing tramadol and acetaminophen that works in the brain to decrease perception of pain.	***는 약한 마약성 진통제로, 트라마돌과 아세트아미노펜을 함유하고 있습니다. 해당 성분들은 뇌에 작용하여 통증을 인식하지 못하도록 합니다.		
9	Acetazolamide	2_검수(1차)	Treats swelling, glaucoma, epilepsy, and acute mountain sickness.	부종, 녹내장, 간질, 급성고산병을 치료합니다.	Diamox Sequels (acetazolamide) is used to treat and prevent acute mountain sickness. Sometimes, it is also used to treat glaucoma, epilepsy, and edema.	***은 급성 고산병을 치료하고 예방하는데 사용됩니다. 또한 녹내장, 간질, 부종 치료에도 사용됩니다.	['Diamox Sequels (acetazolamide) is a very effective medication for the prevention and treatment of mountain sickness.', "Most people don't get many side effects while taking Diamox Sequels (acetazolamide), except for more frequent urination.", 'Diamox Sequels (acetazolamide) is available as a generic and is reasonably priced.']	고산병을 예방하고 치료하는데 효과적입니다. 대부분의 사람들에게서 배뇨 빈도 증가를 제외한 다른 부작용들이 많이 나타나진 않습니다.	['Diamox Sequels (acetazolamide) is not as good as other "water pills" at lowering swelling.', 'For most uses, you must take Diamox Sequels (acetazolamide) several times a day.', 'Diamox Sequels (acetazolamide) can cause an imbalance in electrolytes and blood sugar levels for people who have diabetes or kidney problems.', 'This medicine can cause a few rare, but serious side effects.']	부종을 감소시키는데 다른 이뇨제보다 효과가 떨어집니다. 하루에 여러 번 복용해야합니다.***은 당뇨병이나 신장질환이 있는 환자들의 혈당수치나 전해질수치의 불균형을 초래할 수 있습니다.매우 드물지만 심각한 부작용을 일으킬 수 있습니다.	Diamox Sequels (acetazolamide) is a carbonic anhydrase inhibitor that affects the body's fluid balance. It increases urination, lowers the amount of fluid in the eye, calms the nervous system, and allows the body to use oxygen better at high altitudes.	***은 신체 체액의 균형에 영향을 주는 탄산탈수효소저해제입니다. 배뇨를 증가시키며, 눈의 방수액을 줄여주고, 신경계를 안정시키며, 높은 고도에서 산소를 더 잘 활용할 수 있도록 도와줍니다.	["Diamox Sequels (acetazolamide) is a sulfonamide. Don't take Diamox Sequels (acetazolamide) if you have a sulfa  allergy.", "Don't take Diamox Sequels (acetazolamide) with aspirin unless instructed to do so by your doctor.", 'Diamox Sequels (acetazolamide) can make you tired and drowsy the first few days, so do not drive or operate heavy machinery until you know how Diamox Sequels (acetazolamide) will affect you.', "If you're using Diamox Sequels (acetazolamide) for mountain sickness, take it at least 24 hours before ascending. Continue while at high altitudes, and go up the moutain slowly to avoid getting sick.", 'Diamox Sequels (acetazolamide) may cause you to urinate more often so take it in the morning to avoid getting up at night.', 'Diamox Sequels (acetazolamide) may rarely cause serioius and life-threatening blood or skin conditions. Report painful rash or skin peeling to your doctor immediately.']	
10	Acetylcysteine	2_검수(1차)	Helps you to breathe easier.	호흡을 편하게 만들어 줍니다.	Mucomyst (acetylcysteine) is inhaled to clear mucus from your lungs.	*** 를 흡입하면 폐의 객담이 용해됩니다.	['Mucomyst (acetylcysteine) is well-tolerated.', 'Mucomyst (acetylcysteine) is available in generic.']	*** 는 내약성이 좋습니다.	["Mucomyst (acetylcysteine) has a smelly odor, which some people don't like."]	*** 는 일부 사람들이 싫어하는 특이한 냄새를 지니고 있습니다.	Mucomyst (acetylcysteine) beaks up mucus in your lungs.	*** 는 폐의 객담을 용해시켜줍니다.	['Available as a liquid that can be inhaled via nebulizer machine for treatment of respiratory conditions or taken by mouth for treatment of acetaminophen poisoning.', 'The liquid may change color after you start using it. This is normal.', 'Wash the nebulizer face mask with water if it gets stick.']	
