코드	명칭		제형	투여경로	제형	투여경로/제형
A	내복제		ACE	내복제	장용캡슐제	내복제/장용캡슐제
B	주사제		ACH	내복제	경질캡슐제	내복제/경질캡슐제
C	외용제		ACM	내복제	크림제, 겔제, 젤리	내복제/크림제, 겔제, 젤리
D	기타		ACR	내복제	서방캡슐제	내복제/서방캡슐제
TB	정제, 저작정		ACS	내복제	연질캡슐제	내복제/연질캡슐제
CH	경질캡슐제		AEL	내복제	엘릭서제	내복제/엘릭서제
CS	연질캡슐제		AGN	내복제	과립제, 세립	내복제/과립제, 세립
CE	장용캡슐제		AGR	내복제	서방형과립제	내복제/서방형과립제
TE	장용정제		ALQ	내복제	액제	내복제/액제
TD	확산정, 속붕정, 구강붕해정		AMS	내복제	기타제형	내복제/기타제형
TR	서방형정제		APD	내복제	산제	내복제/산제
CR	서방캡슐제		API	내복제	환제	내복제/환제
TL	설하정		ASS	내복제	현탁제, 현탁액용정제, 현탁액용산제	내복제/현탁제, 현탁액용정제, 현탁액용산제
TC	구강정		ASY	내복제	시럽제, 건조시럽	내복제/시럽제, 건조시럽
TO	트로키제		ATB	내복제	정제, 저작정	내복제/정제, 저작정
GN	과립제, 세립		ATC	내복제	구강정	내복제/구강정
PD	산제		ATD	내복제	확산정, 속붕정, 구강붕해정	내복제/확산정, 속붕정, 구강붕해정
GE	장용과립제		ATE	내복제	장용정제	내복제/장용정제
GR	서방형과립제		ATL	내복제	설하정	내복제/설하정
LQ	액제		ATO	내복제	트로키제	내복제/트로키제
SY	시럽제, 건조시럽		ATR	내복제	서방형정제	내복제/서방형정제
SS	현탁제, 현탁액용정제, 현탁액용산제		ATT	내복제	틴크제	내복제/틴크제
LN	리니멘트제		AXS	내복제	연조엑스제	내복제/연조엑스제
LT	로션제		BIJ	주사제	주사제	주사제/주사제
EM	유제		BIS	주사제	관류액 등	주사제/관류액 등
AW	방항수제		CAE	외용제	에어로솔제	외용제/에어로솔제
SR	주정제		CCH	외용제	경질캡슐제	외용제/경질캡슐제
EL	엘릭서제		CCM	외용제	크림제, 겔제, 젤리	외용제/크림제, 겔제, 젤리
LE	레모네이드제		CCS	외용제	연질캡슐제	외용제/연질캡슐제
OS	점안제(점안액)		CDS	외용제	스폰지 및 드레싱	외용제/스폰지 및 드레싱
OO	안연고제, 점안겔제		CEM	외용제	유제	외용제/유제
XD	건조엑스제		CEN	외용제	포말	외용제/포말
XL	유동엑스제		CEX	외용제	검사용 (시험지, 시약, 키트)	외용제/검사용 (시험지, 시약, 키트)
XS	연조엑스제		CGL	외용제	겔제	외용제/겔제
IJ	주사제		CIM	외용제	이식제 및 체내장치	외용제/이식제 및 체내장치
IM	이식제 및 체내장치		CIS	외용제	관류액 등	외용제/관류액 등
IS	관류액 등		CLN	외용제	리니멘트제	외용제/리니멘트제
SI	분무제 및 흡입제		CLQ	외용제	액제	외용제/액제
AE	에어로솔제		CLT	외용제	로션제	외용제/로션제
SP	좌제		CMS	외용제	기타제형	외용제/기타제형
PI	환제		COM	외용제	연고제	외용제/연고제
CM	크림제, 겔제, 젤리		COO	외용제	안연고제, 점안겔제	외용제/안연고제, 점안겔제
OM	연고제		COS	외용제	점안제(점안액)	외용제/점안제(점안액)
PA	페이스트제		CPA	외용제	페이스트제	외용제/페이스트제
TS	경피흡수제		CPC	외용제	패취제	외용제/패취제
PO	카타플라스마제		CPD	외용제	산제	외용제/산제
PC	패취제		CPL	외용제	경고제, 첩부제	외용제/경고제, 첩부제
PL	경고제, 첩부제		CPO	외용제	카타플라스마제	외용제/카타플라스마제
DS	스폰지 및 드레싱		CSI	외용제	분무제 및 흡입제	외용제/분무제 및 흡입제
TT	틴크제		CSP	외용제	좌제	외용제/좌제
EN	포말		CSS	외용제	현탁제, 현탁액용정제, 현탁액용산제	외용제/현탁제, 현탁액용정제, 현탁액용산제
EX	검사용 (시험지, 시약, 키트)		CTB	외용제	정제, 저작정	외용제/정제, 저작정
MS	기타제형		CTR	외용제	서방형정제	외용제/서방형정제
GL	겔제		CTT	외용제	틴크제	외용제/틴크제
			DLQ	기타	액제	기타/액제
			DMS	기타	기타제형	기타/기타제형
			DPD	기타	산제	기타/산제
