ing_form_id	ing_name_eng	ing_name_kr	form	note	ing_id	code	desc_id_id
1	1-(4-Methylphenyl)-Ethyl-Nicotinic Acid/Naphthylacetic Acid	니코틴산1-(4-메틸페닐)-에틸/나프틸아세트산	내복제/정제, 저작정		1	ATB	
2	2-Deoxy-2-Fluoro-D-Glucose	2-데옥시-2-플루오로-D-글루코스	주사제/주사제		2	BIJ	
3	2-ketoglutaric acid/Calcium Chloride/Histidine/Magnesium Chloride/Manitol/Potassium Chloride/Sodium Chloride/Tryptophan	2-ketoglutaric acid/염화칼슘/히스티딘/염화마그네슘/만니톨/염화칼륨/염화나트륨/트립토판	주사제/관류액 등		3	BIS	
4	2,4-Dichloro Benzyl Alcohol/Amylmetacresol	2,4-디클로로벤질알코올/아밀메타크레졸	내복제/구강정		4	ATC	
5	3-Iodobenzylguanidine(123I)	3-요오도벤질구아니딘(123I)	주사제/주사제		5	BIJ	
6	3-Iodobenzylguanidine(131I)	3-요오도벤질구아니딘(131I)	주사제/주사제		6	BIJ	
7	3,3-Diphosphono-1,2-Propanedicarboxylate	3,3-디포스포노-1,2-프로판디카르복실산(DPD)	주사제/주사제		7	BIJ	
8	3'-Deoxy-3'-Fluorothymidine(18F)	3´-데옥시-3´-플루오로티미딘(18F)	주사제/주사제		8	BIJ	
9	5-Aminolevulinic Acid	5-아미노레불린산	내복제/산제		9	APD	
10	5-Hydroxytryptophan	5-히드록시트립토판	내복제/경질캡슐제		10	ACH	
11	6β-iodomethyl-19-norcholest-5(10)-en-3β-ol(I-131)	6β-요오드메칠-19-노르코레스트-5(10)-엔-3β-올(I-131)	주사제/주사제		11	BIJ	
12	9-Aminoacridine/Methylbenzethonium/N-Myristyl-3-Hydroxybutylamine	9-아미노아크리딘운데실레네이트/메틸벤제토늄/N-미리스틸-3-히드록시부틸아민염산염	외용제/정제, 저작정		12	CTB	
13	괄루근/위령선/하고초	괄루근/위령선/하고초	내복제/정제, 저작정		13	ATB	
