ING_ID	ING_NAME_EN
1	1-(4-Methylphenyl)-Ethyl-Nicotinic Acid/Naphthylacetic Acid
2	2-Deoxy-2-Fluoro-D-Glucose
3	2-ketoglutaric acid/Calcium Chloride/Histidine/Magnesium Chloride/Manitol/Potassium Chloride/Sodium Chloride/Tryptophan
4	2,4-Dichloro Benzyl Alcohol/Amylmetacresol
5	3-Iodobenzylguanidine(123I)
6	3-Iodobenzylguanidine(131I)
7	3,3-Diphosphono-1,2-Propanedicarboxylate
8	3'-Deoxy-3'-Fluorothymidine(18F)
9	5-Aminolevulinic Acid
10	5-Hydroxytryptophan
11	6β-iodomethyl-19-norcholest-5(10)-en-3β-ol(I-131)
12	9-Aminoacridine/Methylbenzethonium/N-Myristyl-3-Hydroxybutylamine
13	괄루근/위령선/하고초
14	구척/두충/방풍/우슬/자오가/흑두
15	길초근·말토덱스트린·무수콜로이드성이산화규소혼합물(75:24.8:0.2)/Hop·Maltodextrin·Silica,Colloidal Anhydrous Mixture(70:29.8:0.2)
16	다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 A 다당류, 접합단백질용 균주 C.Diphtheriae/다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 C 다당류, 접합단백질용 균주 C.Diphtheriae/다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 W-135 다당류, 접합단백질용 균주 C.Diphtheriae/다음의 혈청군에 대한 디프테리아톡소이드와 접합된 수막구균 혈청형 Y 다당류, 접합단백질용 균주 C.Diphtheriae
17	당귀/목과/방풍/속단/오가피/우슬/위령선/육계/진교/천궁/천마/홍화
18	당귀작약산
19	동종제대혈유래중간엽줄기세포
20	메이세라제/사낙타제/푸록타제/Olipase 2S/Pancreatic Digestive Enzyme
21	방풍통성산
22	의료용 기재등의 소독멸균
23	자가유래 피부섬유아세포
24	자가유래수지상세포
25	자가지방조직유래 최소조작 지방세포
26	자기유래 피부각질세포
27	Abacavir
28	Abacavir/Dolutegravir/Lamivudine
29	Abacavir/Lamivudine
30	Abatacept
31	Abciximab
32	Abiraterone
33	Absinthi Herba/Boldine/Chelidonine/Choline Orotate/Curcumine/Cyanocobalamine/Cynarine/Cysteine/Folic Acid/Frangula/Khellin/Nicotinamide/Ox Bile/Rhei rhizoma
34	Absorbable Collagen Hemostat
35	Acamprosate
36	Acarbose
37	Acebrophylline
38	Aceclofenac
39	Aceglutamide Aluminum/Aluminum Hydroxide/Magnesium Hydroxide/Simethicone
40	Acepifylline
41	Acetaminophen
42	Acetaminophen/갈근탕
43	Acetaminophen/진광탕
44	Acetaminophen/Allylisopropylacetylurea/Caffeine/Ibuprofen
45	Acetaminophen/Ascorbic Acid/Benfotiamine/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Ethenzamide/Glycyrrhiza/Platycodon/Riboflavin
46	Acetaminophen/Ascorbic Acid/Benfotiamine/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Riboflavin
47	Acetaminophen/Ascorbic Acid/Bupleurum/Caffeine/D-Chlorpheniramine/Ginseng/Glycyrrhiza/Jujube/Pinellia Tuber/Scutellaria/Tipepidine/Zingiberis Rhizoma
48	Acetaminophen/Ascorbic Acid/Caffeine
49	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cinnamon Bark/Dl-Methylephedrine/Glycyrrhiza/Guaifenesin/Platycodon/Riboflavin/Thiamine/Tipepidine
50	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine
51	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Glycyrrhiza/Oriental Bezoar/Platycodon
52	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Glycyrrhiza/Oriental Bezoar/Platycodon/Riboflavin/Serratiopeptidase/Thiamine
53	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Guaifenesin
54	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Pseudoephedrine
55	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Pseudoephedrine/Riboflavin/Thiamine
56	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Riboflavin/Thiamine
57	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Riboflavin/Thiamine/갈근탕
58	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Dl-Methylephedrine/Riboflavin/Thiamine/향소산
59	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Guaifenesin/Riboflavin/Thiamine/갈근탕
60	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Phenylephrine/Riboflavin/Thiamine/갈근탕
61	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Cloperastine/Pseudoephedrine/Riboflavin/Thiamine/갈근탕
62	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine
63	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaiacolsulfonate/Riboflavin/Thiamine
64	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine
65	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Riboflavin/Thiamine
66	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Pseudoephedrine/Riboflavin/Thiamine
67	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Ginseng/Glycyrrhiza/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine
68	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Glycyrrhiza/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine
69	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Guaiacolsulfonate/Pseudoephedrine/갈근탕
70	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Guaifenesin/Pseudoephedrine/갈근탕
71	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dextromethorphan/Lysozyme/Pseudoephedrine/갈근탕
72	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine
73	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Ethenzamide/Noscapine/Riboflavin/Thiamine
74	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Ethenzamide/Riboflavin/Thiamine/Tipepidine/향소산
75	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Glycyrrhiza/Guaifenesin/Platycodon/Riboflavin/Thiamine/Tipepidine
76	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaiacolsulfonate/Riboflavin/Thiamine/Tipepidine
77	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Phenylephrine
78	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Dl-Methylephedrine/Guaifenesin/Phenylephrine/Riboflavin
79	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Guaifenesin/Pentoxyverine/Phenylephrine
80	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Phenylephrine
81	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Pseudoephedrine
82	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Pseudoephedrine/Riboflavin/Thiamine
83	Acetaminophen/Ascorbic Acid/Caffeine/Chlorpheniramine/Pseudoephedrine/Riboflavin/Thiamine/소청룡탕
84	Acetaminophen/Ascorbic Acid/Caffeine/Cloperastine/D-Chlorpheniramine/Dl-Methylephedrine/Guaiacolsulfonate/Riboflavin/Thiamine
85	Acetaminophen/Ascorbic Acid/Caffeine/D-Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaiacolsulfonate/Riboflavin/Thiamine
86	Acetaminophen/Ascorbic Acid/Caffeine/Dextromethorphan/Pseudoephedrine/Riboflavin/Thiamine
87	Acetaminophen/Ascorbic Acid/Caffeine/Dl-Methylephedrine/Guaifenesin
88	Acetaminophen/Ascorbic Acid/Caffeine/Ephedrine
89	Acetaminophen/Ascorbic Acid/Caffeine/Ephedrine/Thiamine
90	Acetaminophen/Ascorbic Acid/Caffeine/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine
91	Acetaminophen/Ascorbic Acid/Caffeine/Riboflavin/갈근탕
92	Acetaminophen/Ascorbic Acid/Caffeine/Riboflavin/Thiamine/갈근탕
93	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Cloperastine/Guaifenesin/Riboflavin/소청룡탕
94	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Cloperastine/Phenylephrine/Riboflavin/소청룡탕
95	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine
96	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Ethenzamide/Thiamine
97	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Guaifenesin/Pseudoephedrine/Riboflavin/Thiamine
98	Acetaminophen/Ascorbic Acid/Chlorpheniramine/Dextromethorphan/Dl-Methylephedrine/Riboflavin/Thiamine
