prod_code	reg_code_id	durcode1	durcode2	durcode3	durcode4	ing_code_id
643303200	195500002	D000155				152401ATB
643303140	195500004	D000452				110706ATB
644902210	195500005					
644902211	195500005					
644902212	195500005	DH00553	DH01102			319000BIJ
644902213	195500005					
644902220	195500005	DH00553	DH01102			348600BIJ
644902221	195500005					
644902222	195500005					
644902230	195500006					
644902231	195500006					
644902232	195500006	DH00553				142706BIJ
644902233	195500006	DH00553				142706BIJ
644902240	195500006					
644902241	195500006	DH00553				142708BIJ
644902242	195500006					
644902243	195500006	DH00553				142708BIJ
644902250	195500006					
644902251	195500006					
644902252	195500006	DH00553				142709BIJ
644902253	195500006					
644902260	195500006					
644902261	195500006					
644902262	195500006	DH00553				142710BIJ
644902263	195500006					
644902264	195500006					
644902270	195500006					
644902271	195500006					
644902272	195500006	DH00553				142711BIJ
644902273	195500006					
644913570	195500006	DH00553				142708BIJ
644913571	195500006					
644913572	195500006					
626500030	195600001	D000147	H253400			253400ATB
626500031	195600001					
642503610	195600001					
642503611	195600001					
644902020	195600004					
644902021	195600004	DH00553				142703BIJ
644902022	195600004					
644902030	195600004					
644902031	195600004					
644902032	195600004					
644902040	195600004					
644902041	195600004					
644902042	195600004	DH00553				142717BIJ
644902050	195600004					
644902051	195600004					
644902060	195600004	DH00553				142716BIJ
644902061	195600004					
644902062	195600004					
644902280	195600006					
644902281	195600006	DH00553				142719BIJ
644902282	195600006	DH00553				142719BIJ
644902290	195600006					
644902291	195600006					
644902292	195600006	DH00553				142720BIJ
645100920	195700004					
645100921	195700004	DH00553				142712BIJ
645100922	195700004	DH00553				142712BIJ
645100923	195700004	DH00553				142712BIJ
645100930	195700004					
645100931	195700004	DH00553				142713BIJ
645100932	195700004	DH00553				142713BIJ
645100940	195700004					
645100941	195700004					
645100942	195700004					
645100630	195700007					
645100631	195700007	DH01285				249202BIJ
645100632	195700007	DH01285				249202BIJ
645100640	195700007					
645100641	195700007					
645100642	195700007					
645100643	195700007	DH01285				249201BIJ
645100644	195700007					
645102960	195700007					
645102961	195700007	DH01285				249202BIJ
645102970	195700007					
645102971	195700007					
645103710	195700007					
645103711	195700007					
645103780	195700007					
645103781	195700007					
645103790	195700007					
645103791	195700007					
645100950	195700008					
645100951	195700008					
645100952	195700008					
645100953	195700008					
645100954	195700008	DH00553				142703BIJ
645100955	195700008					
645100560	195700009					
645100561	195700009	DH01102				228711BIJ
645100562	195700009	DH01102				228711BIJ
645100563	195700009	DH01102				228711BIJ
645100564	195700009					
645100565	195700009					
645100570	195700009					
645100571	195700009	DH01102				228713BIJ
645100572	195700009	DH01102				228713BIJ
645100573	195700009	DH01102				228713BIJ
645100574	195700009					
645100580	195700009					
645100581	195700009	DH01102				228714BIJ
645100582	195700009	DH01102				228714BIJ
645100583	195700009					
645100584	195700009					
645100590	195700009					
645100591	195700009	DH01102				228712BIJ
645100592	195700009					
645100593	195700009					
645100600	195700009					
645100601	195700009	DH01102				228715BIJ
645100610	195700009					
645100611	195700009	DH01102				228722BIJ
645100612	195700009					
645100613	195700009					
645100620	195700009					
645100621	195700009	DH01102				228710BIJ
645100622	195700009	DH01102				228710BIJ
645100623	195700009	DH01102				228710BIJ
645100624	195700009					
645103250	195700009					
645103251	195700009					228756BIJ
645103252	195700009					
645103820	195700009					
645103821	195700009	DH01102				228726BIJ
645103822	195700009	DH01102				228726BIJ
645103890	195700009					
645103891	195700009					
645104090	195700009					
645104091	195700009					228755BIJ
645104100	195700009					
645104101	195700009	DH01102				228739BIJ
645104390	195700009					
645104391	195700009					228755BIJ
645104392	195700009					
645104500	195700009					
645104501	195700009					
645104502	195700009					
645104503	195700009					
645104510	195700009					
645104511	195700009	DH01102				228734BIJ
645104512	195700009					
645104513	195700009					
645104670	195700009					
645104671	195700009					
645100960	195700010					
645100961	195700010	DH00553				142706BIJ
645100962	195700010	DH00553				142706BIJ
645100963	195700010					
645100964	195700010	DH00553				142706BIJ
645100970	195700010					
645100971	195700010	DH00553				142708BIJ
645100972	195700010	DH00553				142708BIJ
645100973	195700010	DH00553				142708BIJ
645100974	195700010					
645100980	195700010					
645100981	195700010	DH00553				142709BIJ
645100982	195700010	DH00553				142709BIJ
645100983	195700010					
645100990	195700010					
645100991	195700010	DH00553				142710BIJ
645100992	195700010	DH00553				142710BIJ
645100993	195700010	DH00553				142710BIJ
645101000	195700010					
645101001	195700010	DH00553				142711BIJ
645101002	195700010	DH00553				142711BIJ
645104320	195700010					
645104321	195700010					
645104550	195700010					
645104551	195700010	DH00553				142733BIJ
645104552	195700010					
645104560	195700010					
645104561	195700010					
645104562	195700010					
645104680	195700010					
645104681	195700010					
645104682	195700010					
645104683	195700010					
645104710	195700010					
645104711	195700010					
645104712	195700010					
650500460	195700013					
650500461	195700013	D000155				152430BIJ
650500462	195700013					
650500860	195700014					
650500861	195700014	DH00553				142703BIJ
650500862	195700014					
650500230	195700015					
650500231	195700015	DH00192				121331BIJ
650500232	195700015					
650500220	195700016					
650500221	195700016	DH00192				121332BIJ
650500222	195700016					
642703890	195700020	HC20800				C20800ALQ
642703891	195700020					
642703892	195700020					
647700050	195700028					
647700051	195700028	D000147	D000852	D000847		A28600APD
647700052	195700028					
647700053	195700028					
647601040	195700033	D001051	N999999	DH01076		A34900CLQ
647601041	195700033					
647601042	195700033					
671800730	195800018					
671800731	195800018	D000155				152430BIJ
671800732	195800018					
671800733	195800018					
671800520	195800019					
671800521	195800019	D000145				107330BIJ
671800522	195800019					
671800523	195800019					
671801530	195800020					
671801531	195800020	DH00732				187630BIJ
671801532	195800020					
642900650	195900009	HB44200				B44200AGN
642900651	195900009					
642900652	195900009					
642900653	195900009					
642900654	195900009					
642900655	195900009					
642900656	195900009					
642900657	195900009					
642900658	195900009					
642900659	195900009					
642904301	195900009					
644800350	195900032					
644800351	195900032					
644800352	195900032					
643800390	195900034	DH01076				A37306CDS
643800391	195900034					
643800392	195900034					
643800393	195900034					
647801450	195900043	H411700				411700ATB
647801451	195900043					
647801452	195900043					
647801453	195900043					
647801454	195900043					
654302430	195900045	HC57000				C57000AXS
654302431	195900045					
654302432	195900045					
654302434	195900045					
655006660	195900045					
655006661	195900045					
655006662	195900045					
655006663	195900045					
655006670	195900045					
655006671	195900045					
643303740	196000001	D000064				236701ACH
643303741	196000001					
643303742	196000001					
652104990	196000003					
652104991	196000003					
670000060	196000003					
670000061	196000003					
670000062	196000003					
642100160	196000008	D000414				170801ATB
642100161	196000008					
642100162	196000008					
642100163	196000008					
642100164	196000008					
642100165	196000008					
642102580	196000010					
642102581	196000010	D000893				131830BIJ
642102582	196000010					
642102583	196000010					
642102570	196000011	D000893				131801ATB
642102571	196000011					
642102572	196000011					
643304210	196100001					
643303330	196100002					
643303331	196100002	D000241				232101BIJ
643303332	196100002					
644903370	196100007					
644903371	196100007	DH01285				249201BIJ
644903372	196100007					
644903380	196100007					
644903381	196100007					
644903382	196100007	DH01285				249202BIJ
644903383	196100007					
644912790	196100007					
644912800	196100007					
644913160	196100007					
644913161	196100007					
644913162	196100007					
644902630	196100008					
644902631	196100008					
644902632	196100008					
644902633	196100008					
644902640	196100008					
644902641	196100008					
644902642	196100008					
644902643	196100008					
644902644	196100008					
644902645	196100008					
644902650	196100008					
644902651	196100008					
644902652	196100008					
644902660	196100008					
644902661	196100008					
644902662	196100008					
644902663	196100008					
644902664	196100008					
644902670	196100008					
644902671	196100008					
644902672	196100008					
644902673	196100008					
644902680	196100008					
644902690	196100008					
644902691	196100008	DH01102				228708BIJ
644902692	196100008					
644902700	196100008	DH01102				228726BIJ
648502210	196200002					
648502211	196200002					
648502212	196200002					
648502213	196200002					
648502214	196200002					
648502215	196200002					
642101930	196200032	D000265				178101ATB
642101931	196200032					
642101932	196200032					
642101933	196200032					
642101934	196200032					
642101935	196200032					
642101936	196200032					
642100700	196200034	H301100				301100ATB
642100701	196200034					
642100702	196200034					
642100703	196200034					
642401650	196200043	D000897				213301ATB
642401651	196200043					
642401652	196200043					
642401653	196200043					
642401500	196200046					
642401501	196200046					
642401502	196200046					
640000090	196300001	DH00378				144801ATB
640000091	196300001					
640000092	196300001					
640000093	196300001					
642101270	196300025					
642101271	196300025	D000667				207530BIJ
642101272	196300025					
654000550	196300034	D000288				200530BIJ
654000880	196300035					
654000881	196300035	DH00378				144830BIJ
654000882	196300035					
642400170	196300043					
642400171	196300043					
642400172	196300043					
642401660	196300044					
642401661	196300044	D000897				213330BIJ
642401662	196300044					
642200620	196300064	D000199				141903ATB
642200621	196300064					
642200622	196300064					
642200623	196300064					
642200624	196300064					
642200625	196300064					
645900080	196400016	D000147	HB01400			B01400ACH
644904480	196400020					
644904481	196400020					
644904482	196400020	H320700				320700BIJ
644904483	196400020					
644904484	196400020					
644904490	196400020					
644904491	196400020	H349400				349400BIJ
644904492	196400020					
644904493	196400020					
652100210	196400036					
652100211	196400036	D000798				163830BIJ
652100212	196400036					
652100200	196400037	D000798				163801ATB
652100201	196400037					
652100202	196400037					
652100203	196400037					
652100204	196400037					
652100205	196400037					
652100206	196400037					
652100207	196400037					
653700060	196400046	H285900				285900ATB
653700061	196400046					
653700062	196400046					
671801140	196400054					
671801141	196400054	D000656				111830BIJ
671801142	196400054					
648601070	196400082	DH00087				110405ATB
648601071	196400082					
648601072	196400082					
648601073	196400082					
662600110	196400089					
662600111	196400089					
662600112	196400089					
662600113	196400089					
662600114	196400089					
662600115	196400089					
656400090	196400098	D000413				221603ATB
656400091	196400098					
656400092	196400098					
642503410	196400099	D000549				139101ACH
642503411	196400099					
642503412	196400099					
642503413	196400099					
642503414	196400099					
642503415	196400099					
642503416	196400099					
642503417	196400099					
642503418	196400099					
642503419	196400099					
642503421	196400099					
642503422	196400099					
642503423	196400099					
642503424	196400099					
642503425	196400099					
642503426	196400099					
640002760	196500004	D000426				194101ATB
640002761	196500004					
640002762	196500004					
640002763	196500004					
649700900	196500051	D000852				551901ATB
649700901	196500051					
649700902	196500051					
649700903	196500051					
649700904	196500051					
649700905	196500051					
626500110	196600011					
626500111	196600011					
626500112	196600011					
626500113	196600011					
626500114	196600011					
642502050	196600011					
642502051	196600011					
642502052	196600011					
642502053	196600011					
642502054	196600011					
626500120	196600012					
626500121	196600012					
626500122	196600012					
626500123	196600012					
626500124	196600012					
642502030	196600012					
642502031	196600012					
642502032	196600012					
642502033	196600012					
642502034	196600012					
644500900	196600018	D000265				178101ATB
641701300	196600063	HB19900				B19900ALQ
641701301	196600063					
649701010	196600085	H280800				280800AGN
649701011	196600085					
649701012	196600085					
649701013	196600085					
649701014	196600085					
649701015	196600085					
649701016	196600085					
644903310	196700013					
644903311	196700013	H319800				319800BIJ
644903312	196700013					
644903320	196700013	H348900				348900BIJ
644902070	196700014	DH00738				148003BIJ
644902080	196700014	DH00738				148008BIJ
644902090	196700014					
644902091	196700014					
644904470	196700015					
644904471	196700015	H349500				349500BIJ
644904472	196700015					
644911930	196700015					
644911931	196700015	H320900				320900BIJ
644911932	196700015					
644911933	196700015					
645700610	196700032					
645700611	196700032					
657200580	196700045	D000753				243802ATB
657200581	196700045					
657200582	196700045					
642100440	196700060	DH00456				155602ATB
642100441	196700060					
642100442	196700060					
642100443	196700060					
642100444	196700060					
643800650	196700061	HB14100				B14100CAE
643800651	196700061					
643800652	196700061					
643800653	196700061					
643800654	196700061					
643800655	196700061					
644901890	196800016					
644901891	196800016					
644901892	196800016					
644901900	196800016					
644901901	196800016					
644901910	196800016					
644901911	196800016	DH00738				148005BIJ
644901920	196800016					
644901921	196800016					
644913020	196800016					
644913021	196800016	DH00738				148004BIJ
644913060	196800016					
644913061	196800016	DH00738				148001BIJ
644901870	196800017					
644901871	196800017					
644901872	196800017	DH00553				142712BIJ
644901873	196800017					
644901880	196800017					
644901881	196800017	DH00553				142713BIJ
644901882	196800017					
644901883	196800017					
645100240	196800019					
645100241	196800019	DH00553	DH01102			319000BIJ
645100242	196800019	DH00553	DH01102			319000BIJ
645100243	196800019	DH00553	DH01102			319000BIJ
645100250	196800019					
