id	created	modified	code	is_rep	name_en	name_kr	rep_code	one_liner
80	2018-10-22 07:11:28.60561+00	2018-10-22 07:11:28.605646+00	A00-B99	t	Certain infectious and parasitic diseases, A00-B99	I. 특정 감염성 및 기생충성 질환	A00-B99	
81	2018-10-22 07:11:28.610504+00	2018-10-22 07:11:28.610523+00	A00-A09	t	Intestinal infectious diseases	장감염질환	A00-A09	
12229	2018-10-22 07:13:12.290382+00	2018-10-24 15:23:06.348424+00	O66.2	f	Obstructed labour due to unusually large fetus	비정상 거대태아로 인한 난산	O66	
94	2018-10-22 07:11:28.642542+00	2018-11-05 08:55:03.083604+00	A02.1	f	Salmonella sepsis	살모넬라패혈증	A02	
129	2018-10-22 07:11:28.729017+00	2018-11-07 05:26:51.421706+00	A06.4	f	Amoebic liver abscess(K77.0*)	아메바성 간농양(K77.0*)	A06	
98	2018-10-22 07:11:28.65269+00	2018-11-09 04:28:56.096821+00	A03	t	Shigellosis	시겔라증	A03	
92	2018-10-22 07:11:28.637659+00	2018-10-24 13:32:28.047058+00	A02	t	Other salmonella infections	기타 살모넬라감염	A02	
96	2018-10-22 07:11:28.647302+00	2018-10-24 13:32:29.293118+00	A02.8	f	Other specified salmonella infections	기타 명시된 살모넬라감염	A02	
95	2018-10-22 07:11:28.644883+00	2018-10-24 13:32:29.600561+00	A02.2	f	Localized salmonella infections	국소적 살모넬라감염	A02	
97	2018-10-22 07:11:28.649973+00	2018-10-24 13:32:29.898674+00	A02.9	f	Salmonella infection, unspecified	상세불명의 살모넬라감염	A02	
87	2018-10-22 07:11:28.625111+00	2018-11-09 05:40:29.116581+00	A01.0	f	Typhoid fever	장티푸스	A01	
86	2018-10-22 07:11:28.622785+00	2018-11-09 07:01:28.66371+00	A01	t	Typhoid and paratyphoid fevers	장티푸스 및 파라티푸스	A01	
125	2018-10-22 07:11:28.7193+00	2018-10-24 13:32:40.659462+00	A06.0	f	Acute amoebic dysentery	급성 아메바이질	A06	
126	2018-10-22 07:11:28.721707+00	2018-10-24 13:32:40.967246+00	A06.1	f	Chronic intestinal amoebiasis	만성 장아메바증	A06	
127	2018-10-22 07:11:28.724061+00	2018-10-24 13:32:41.555726+00	A06.2	f	Amoebic nondysenteric colitis	아메바성 비이질성 결장염	A06	
128	2018-10-22 07:11:28.726484+00	2018-10-24 13:32:41.835222+00	A06.3	f	Amoeboma of intestine	장의 아메바종	A06	
133	2018-10-22 07:11:28.738713+00	2018-10-24 13:32:42.503212+00	A06.8	f	Amoebic infection of other sites	기타 부위의 아메바성 감염	A06	
134	2018-10-22 07:11:28.741314+00	2018-10-24 13:32:42.810447+00	A06.9	f	Amoebiasis, unspecified	상세불명의 아메바증	A06	
130	2018-10-22 07:11:28.731465+00	2018-10-24 13:32:45.547915+00	A06.5	f	Amoebic lung abscess(J99.8*)	아메바성 폐농양(J99.8*)	A06	
131	2018-10-22 07:11:28.733907+00	2018-10-24 13:32:45.882506+00	A06.6	f	Amoebic brain abscess(G07*)	아메바성 뇌농양(G07*)	A06	
132	2018-10-22 07:11:28.736301+00	2018-10-24 13:32:46.213395+00	A06.7	f	Cutaneous amoebiasis	피부아메바증	A06	
12230	2018-10-22 07:13:12.292849+00	2018-10-24 15:23:06.655748+00	O66.3	f	Obstructed labour due to other abnormalities of fe	태아의 기타 이상으로 인한 난산	O66	
12279	2018-10-22 07:13:12.417613+00	2018-10-24 15:23:22.322712+00	O73.1	f	Retained portions of placenta and membranes, witho	출혈이 없는 태반 및 양막의 잔류부분	O73	
89	2018-10-22 07:11:28.630501+00	2019-02-01 07:25:51.078589+00	A01.2	f	Paratyphoid fever B	파라티푸스 B	A01	
90	2018-10-22 07:11:28.63284+00	2019-02-01 07:28:47.252219+00	A01.3	f	Paratyphoid fever C	파라티푸스 C	A01	
135	2018-10-22 07:11:28.743749+00	2019-03-21 06:00:56.37875+00	A07	t	Other protozoal intestinal diseases	기타 원충성 장질환	A07	
137	2018-10-22 07:11:28.748401+00	2019-03-19 04:43:11.788404+00	A07.1	f	Giardiasis [lambliasis]	편모충증[람블편모충증]	A07	
138	2018-10-22 07:11:28.751295+00	2019-03-19 04:43:52.412427+00	A07.2	f	Cryptosporidiosis	와포자충증	A07	
84	2018-10-22 07:11:28.617882+00	2019-03-19 04:16:09.207567+00	A00.1	f	Cholera due to Vibrio cholerae 01, biovar eltor	비브리오 콜레라 01 엘토르형균에 의한 콜레라	A00	
85	2018-10-22 07:11:28.620324+00	2019-03-19 04:16:21.395211+00	A00.9	f	Cholera, unspecified	상세불명의 콜레라	A00	
93	2018-10-22 07:11:28.640097+00	2019-03-19 04:17:02.712597+00	A02.0	f	Salmonella enteritis	살모넬라장염	A02	
99	2018-10-22 07:11:28.655258+00	2019-03-19 04:17:16.863871+00	A03.0	f	Shigellosis due to Shigella dysenteriae	이질이질균에 의한 시겔라증	A03	
100	2018-10-22 07:11:28.657802+00	2019-03-19 04:17:36.343605+00	A03.1	f	Shigellosis due to Shigella flexneri	플렉스네리이질균에 의한 시겔라증	A03	
101	2018-10-22 07:11:28.660567+00	2019-03-19 04:18:15.76393+00	A03.2	f	Shigellosis due to Shigella boydii	보이디이질균에 의한 시겔라증	A03	
102	2018-10-22 07:11:28.663003+00	2019-03-19 04:18:29.220126+00	A03.3	f	Shigellosis due to Shigella sonnei	소네이이질균에 의한 시겔라증	A03	
103	2018-10-22 07:11:28.665325+00	2019-03-19 04:18:40.529028+00	A03.8	f	Other shigellosis	기타 시겔라증	A03	
104	2018-10-22 07:11:28.667652+00	2019-03-19 04:18:49.745094+00	A03.9	f	Shigellosis, unspecified	상세불명의 시겔라증	A03	
106	2018-10-22 07:11:28.672555+00	2019-03-19 04:19:13.068486+00	A04.0	f	Enteropathogenic Escherichia coli infection	장병원성 대장균감염	A04	
107	2018-10-22 07:11:28.675084+00	2019-03-19 04:19:26.734292+00	A04.1	f	Enterotoxigenic Escherichia coli infection	장독소생산 대장균감염	A04	
108	2018-10-22 07:11:28.677634+00	2019-03-19 04:20:10.785939+00	A04.2	f	Enteroinvasive Escherichia coli infection	장침투성 대장균감염	A04	
109	2018-10-22 07:11:28.680182+00	2019-03-19 04:20:24.02034+00	A04.3	f	Enterohaemorrhagic Escherichia coli infection	장출혈성 대장균감염	A04	
110	2018-10-22 07:11:28.682648+00	2019-03-19 04:20:37.708705+00	A04.4	f	Other intestinal Escherichia coli infection	기타 장대장균감염	A04	
111	2018-10-22 07:11:28.685243+00	2019-03-19 04:20:47.55566+00	A04.5	f	Campylobacter enteritis	캄필로박터장염	A04	
113	2018-10-22 07:11:28.690136+00	2019-03-19 04:21:10.181624+00	A04.7	f	Enterocolitis due to Clostridium difficile	클로스트리듐 디피실리에 의한 장결장염	A04	
114	2018-10-22 07:11:28.6925+00	2019-03-19 04:21:22.751622+00	A04.8	f	Other specified bacterial intestinal infections	기타 명시된 세균성 장감염	A04	
115	2018-10-22 07:11:28.694779+00	2019-03-19 04:21:34.188236+00	A04.9	f	Bacterial intestinal infection, unspecified	상세불명의 세균성 장감염	A04	
117	2018-10-22 07:11:28.699769+00	2019-03-19 04:21:50.427909+00	A05.0	f	Foodborne staphylococcal intoxication	음식매개포도구균중독	A05	
118	2018-10-22 07:11:28.702277+00	2019-03-19 04:22:08.112011+00	A05.1	f	Botulism	보틀리눔중독	A05	
120	2018-10-22 07:11:28.707182+00	2019-03-19 04:22:31.58307+00	A05.3	f	Foodborne Vibrio parahaemolyticus intoxication	장염비브리오균에 의한 식중독	A05	
121	2018-10-22 07:11:28.709643+00	2019-03-19 04:22:41.606439+00	A05.4	f	Foodborne Bacillus cereus intoxication	바실루스 세레우스에 의한 식중독	A05	
122	2018-10-22 07:11:28.712056+00	2019-03-19 04:22:52.287917+00	A05.8	f	Other specified bacterial foodborne intoxications	기타 명시된 세균성 식중독	A05	
123	2018-10-22 07:11:28.714477+00	2019-03-19 04:23:17.229834+00	A05.9	f	Bacterial foodborne intoxication, unspecified	상세불명의 세균성 식중독	A05	
136	2018-10-22 07:11:28.74606+00	2019-03-19 04:42:30.784514+00	A07.0	f	Balantidiasis	대장섬모충증	A07	
105	2018-10-22 07:11:28.670134+00	2019-03-21 06:00:29.94003+00	A04	t	Other bacterial intestinal infections	기타 세균성 장감염	A04	
124	2018-10-22 07:11:28.716873+00	2019-03-21 06:00:02.669442+00	A06	t	Amoebiasis	아메바증	A06	
155	2018-10-22 07:11:28.793624+00	2018-10-22 07:11:28.793643+00	A15-A19	t	Tuberculosis	결핵	A15-A19	
12330	2018-10-22 07:13:12.546341+00	2018-10-24 15:23:38.294329+00	O84.0	f	Multiple delivery, all spontaneous	모두 자연적인 다태분만	O84	
12331	2018-10-22 07:13:12.548733+00	2018-10-24 15:23:38.604556+00	O84.1	f	Multiple delivery, all by forceps and vacuum extra	모두 집게 및 진공흡착기에 의한 다태분만	O84	
157	2018-10-22 07:11:28.798662+00	2018-10-24 13:32:50.520897+00	A15.0	f	Tuberculous of lung, confirmed by sputum microscop	배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵	A15	
158	2018-10-22 07:11:28.801239+00	2018-10-24 13:32:51.104089+00	A15.00	f	Tuberculous of lung with cavitation, confirmed by 	배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵	A15	
159	2018-10-22 07:11:28.80403+00	2018-10-24 13:32:51.719452+00	A15.01	f	Tuberculous of lung without cavitation or unspecif	배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵	A15	
160	2018-10-22 07:11:28.806548+00	2018-10-24 13:32:52.350789+00	A15.1	f	Tuberculosis of lung, confirmed by culture only	배양만으로 확인된 폐결핵	A15	
162	2018-10-22 07:11:28.811556+00	2018-10-24 13:32:52.713124+00	A15.11	f	Tuberculosis of lung without cavitation or unspeci	배양만으로 확인된 공동이 없거나 상세불명의 폐결핵	A15	
163	2018-10-22 07:11:28.813938+00	2018-10-24 13:32:53.254225+00	A15.2	f	Tuberculosis of lung, confirmed histologically	조직학적으로 확인된 폐결핵	A15	
164	2018-10-22 07:11:28.816404+00	2018-10-24 13:32:53.544623+00	A15.20	f	Tuberculosis of lung with cavitation, confirmed hi	조직학적으로 확인된 공동이 있는 폐결핵	A15	
166	2018-10-22 07:11:28.821256+00	2018-10-24 13:32:54.483251+00	A15.3	f	Tuberculosis of lung, confirmed by unspecified mea	상세불명의 수단으로 확인된 폐결핵	A15	
167	2018-10-22 07:11:28.824476+00	2018-10-24 13:32:54.790414+00	A15.30	f	Tuberculosis of lung with cavitation, confirmed by	상세불명의 수단으로 확인된 공동이 있는 폐결핵	A15	
168	2018-10-22 07:11:28.826891+00	2018-10-24 13:32:55.098908+00	A15.31	f	Tuberculosis of lung without cavitation or unspeci	상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵	A15	
169	2018-10-22 07:11:28.829443+00	2018-10-24 13:32:55.40499+00	A15.4	f	Tuberculosis of intrathoracic lymph nodes, confirm	세균학적 및 조직학적으로 확인된 흉곽내림프절의 결핵	A15	
170	2018-10-22 07:11:28.832754+00	2018-10-24 13:32:55.713146+00	A15.40	f	Tuberculosis of intrathoracic lymph nodes with cav	세균학적 및 조직학적으로 확인된 공동이 있는 흉곽내림프절의 결핵	A15	
171	2018-10-22 07:11:28.835214+00	2018-10-24 13:32:56.020334+00	A15.41	f	Tuberculosis of intrathoracic lymph nodes without 	세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 흉곽내림프절의 결핵	A15	
172	2018-10-22 07:11:28.837721+00	2018-10-24 13:32:56.327408+00	A15.5	f	Tuberculosis of larynx, trachea and bronchus, conf	세균학적 및 조직학적으로 확인된 후두, 기관 및 기관지의 결핵	A15	
173	2018-10-22 07:11:28.840095+00	2018-10-24 13:32:56.604092+00	A15.50	f	Tuberculosis of larynx with cavitation, trachea an	세균학적 및 조직학적으로 확인된 공동이 있는 후두, 기관 및 기관지의 결핵	A15	
174	2018-10-22 07:11:28.842568+00	2018-10-24 13:32:56.941292+00	A15.51	f	Tuberculosis of larynx  without cavitation or unsp	세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 후두, 기관 및 기관지의 결핵	A15	
176	2018-10-22 07:11:28.847291+00	2018-10-24 13:32:57.55637+00	A15.60	f	Tuberculous pleurisy with cavitation, confirmed ba	세균학적 및 조직학적으로 확인된 공동이 있는 결핵성 흉막염	A15	
